                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  1.266,                 3.5721,                 1.5535,                0.12046,                0.72708,                0.14582,                0.09032,                 1.4175,                 3.3788,                 1.8468,              5.716e-05,              5.716e-05,              5.716e-05
                      2,                 1.2071,                  3.568,                  1.491,                0.64107,                0.56667,                0.48292,                0.41502,                0.60234,                 11.521,                 1.1196,             0.00012836,             0.00012836,             0.00012836
                      3,                0.77154,                 1.9113,                 1.1739,                0.33851,                0.68579,                0.50401,                0.41845,                0.61575,                  9.668,                 1.1541,             0.00019927,             0.00019927,             0.00019927
                      4,                0.69743,                 1.1804,                 1.0971,                0.25238,                0.66667,                0.39162,                0.35183,                0.49287,                 29.204,                 1.0815,              0.0002699,              0.0002699,              0.0002699
                      5,                0.68831,                 1.0855,                 1.0893,                0.19808,                0.48125,                0.23569,                0.19939,                0.79403,                    inf,                 1.3847,             0.00034024,             0.00034024,             0.00034024
                      6,                0.66596,                0.87213,                  1.121,                0.19808,                0.48125,                0.23569,                0.19939,                    nan,                    nan,                    nan,             0.00041031,             0.00041031,             0.00041031
                      7,                0.63821,                0.79571,                 1.0662,                0.01572,                0.10417,                0.01054,                0.00511,                 2.9615,                    inf,                 10.776,             0.00048009,             0.00048009,             0.00048009
                      8,                 0.6432,                0.66614,                 1.0519,                0.15689,                0.22083,                0.11855,                0.06821,                 2.7422,                    inf,                 23.393,             0.00054959,             0.00054959,             0.00054959
                      9,                0.61033,                 0.5931,                 1.0259,                0.00145,                0.02083,                0.00042,                0.00012,                 4.1528,                 230.77,                 6.7614,              0.0006188,              0.0006188,              0.0006188
                     10,                0.68651,                 0.7038,                 1.0785,                0.00164,                0.01042,                0.00024,                  2e-05,                    nan,                    nan,                    nan,             0.00068773,             0.00068773,             0.00068773
                     11,                0.65193,                  0.686,                 1.0534,                0.00088,                0.04167,                0.00065,                0.00017,                 4.9547,                    inf,                    275,             0.00075638,             0.00075638,             0.00075638
                     12,                0.72663,                0.69731,                  1.142,                0.01425,                0.14167,                0.01965,                0.00319,                 2.6622,                    inf,                 37.446,             0.00082475,             0.00082475,             0.00082475
                     13,                0.73054,                0.81413,                 1.0613,                0.05394,                0.15417,                 0.0233,                0.00364,                 2.1822,                    inf,                 9.5568,             0.00089283,             0.00089283,             0.00089283
                     14,                0.70682,                0.72482,                 1.1335,                0.05394,                0.15417,                 0.0233,                0.00364,                 4.2864,                    inf,                 13.404,             0.00096063,             0.00096063,             0.00096063
                     15,                0.69696,                0.71402,                 1.0835,                0.34678,                0.23333,                0.01553,                0.00704,                 2.9114,                    inf,                  15.64,              0.0010281,              0.0010281,              0.0010281
                     16,                0.65222,                0.69043,                 1.1071,                 0.2609,                0.21458,                0.12148,                0.09932,                 2.1162,                  150.6,                 12.342,              0.0010954,              0.0010954,              0.0010954
                     17,                0.77103,                0.88669,                 1.1675,                0.02114,                0.05833,                0.00949,                0.00186,                 3.8031,                 73.737,                 11.275,              0.0011623,              0.0011623,              0.0011623
                     18,                 0.6985,                0.70644,                 1.1102,                0.67383,                0.08333,                0.00656,                0.00092,                 3.4548,                 105.79,                 9.0086,               0.001229,               0.001229,               0.001229
                     19,                0.71332,                0.69267,                 1.1023,                0.33915,                0.04167,                  0.002,                 0.0006,                 4.1707,                 23.977,                 9.6891,              0.0012954,              0.0012954,              0.0012954
                     20,                0.72299,                0.75992,                 1.1021,                0.00197,                0.01042,                0.00102,                 0.0001,                 4.4851,                 423.96,                 67.507,              0.0013615,              0.0013615,              0.0013615
                     21,                 0.7046,                0.68414,                 1.1263,                0.00214,                0.04167,                0.00125,                0.00025,                 5.4571,                  274.7,                  46.38,              0.0013724,              0.0013724,              0.0013724
                     22,                0.73724,                0.68451,                 1.1781,                0.00214,                0.04167,                0.00125,                0.00025,                 4.7811,                  8.879,                 24.745,              0.0013724,              0.0013724,              0.0013724
