                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2095,                 3.4348,                 1.4927,                0.01628,                0.36708,                0.05838,                0.03916,                 1.3733,                 3.3738,                 1.8156,              3.636e-05,              3.636e-05,              3.636e-05
                      2,                  1.222,                 3.4595,                 1.4583,                0.01666,                0.38958,                0.06267,                0.04232,                 1.3813,                 3.3472,                 1.8207,             8.1648e-05,             8.1648e-05,             8.1648e-05
                      3,                0.88224,                 2.1474,                 1.2444,                0.68546,                   0.59,                0.44802,                0.36889,                0.51635,                  4.939,                 1.0381,             0.00012676,             0.00012676,             0.00012676
                      4,                0.57334,                0.93002,                 1.0236,                0.81218,                0.57334,                0.64776,                0.55746,                0.47295,                 5.2979,                 1.0063,             0.00017168,             0.00017168,             0.00017168
                      5,                0.56703,                0.74548,                 1.0071,                0.63752,                0.63333,                 0.5227,                0.43375,                0.61273,                 3.8217,                 1.1676,             0.00021643,             0.00021643,             0.00021643
                      6,                0.59916,                0.70591,                 1.0418,                0.47099,                0.47448,                0.49297,                0.43954,                0.45218,                 8.3064,                0.97996,               0.000261,               0.000261,               0.000261
                      7,                0.60634,                0.78863,                 1.0517,                0.47015,                0.59375,                0.29659,                 0.2691,                 0.5361,                 25.261,                 1.0954,             0.00030539,             0.00030539,             0.00030539
                      8,                 0.6109,                0.67876,                  1.025,                0.38373,                0.72708,                0.29586,                0.25753,                0.52176,                 18.751,                 1.0379,              0.0003496,              0.0003496,              0.0003496
                      9,                0.61144,                0.72112,                 1.0507,                0.05385,                0.64583,                0.08971,                0.07828,                0.61057,                    inf,                 1.1354,             0.00039362,             0.00039362,             0.00039362
                     10,                0.63011,                0.72812,                  1.049,                0.09993,                0.69292,                0.13967,                 0.1062,                 1.0253,                 40.569,                  1.495,             0.00043747,             0.00043747,             0.00043747
                     11,                0.61128,                0.65024,                 1.0751,                0.10085,                   0.22,                0.09569,                0.02048,                 2.5086,                    inf,                 6.6721,             0.00048114,             0.00048114,             0.00048114
                     12,                0.59947,                0.59428,                 1.0354,                  0.412,                0.62875,                0.27594,                0.15336,                 2.4658,                 73.765,                  4.038,             0.00052463,             0.00052463,             0.00052463
